"date","Area","sector","type","value","concept"
1993-03-31,"New Zealand","All sectors","geomean_rent",144.58942362441,"Start date, Flow"
1993-06-30,"New Zealand","All sectors","geomean_rent",143.610567465819,"Start date, Flow"
1993-09-30,"New Zealand","All sectors","geomean_rent",147.576441144174,"Start date, Flow"
1993-12-31,"New Zealand","All sectors","geomean_rent",150.612729000295,"Start date, Flow"
1994-03-31,"New Zealand","All sectors","geomean_rent",152.56845667942,"Start date, Flow"
1994-06-30,"New Zealand","All sectors","geomean_rent",153.603296670692,"Start date, Flow"
1994-09-30,"New Zealand","All sectors","geomean_rent",155.182299651283,"Start date, Flow"
1994-12-31,"New Zealand","All sectors","geomean_rent",159.238769796749,"Start date, Flow"
1995-03-31,"New Zealand","All sectors","geomean_rent",161.576121126825,"Start date, Flow"
1995-06-30,"New Zealand","All sectors","geomean_rent",163.722192192461,"Start date, Flow"
1995-09-30,"New Zealand","All sectors","geomean_rent",167.115303722498,"Start date, Flow"
1995-12-31,"New Zealand","All sectors","geomean_rent",171.561556539582,"Start date, Flow"
1996-03-31,"New Zealand","All sectors","geomean_rent",174.65511100173,"Start date, Flow"
1996-06-30,"New Zealand","All sectors","geomean_rent",177.655131951152,"Start date, Flow"
1996-09-30,"New Zealand","All sectors","geomean_rent",178.45551424285,"Start date, Flow"
1996-12-31,"New Zealand","All sectors","geomean_rent",181.937590454884,"Start date, Flow"
1997-03-31,"New Zealand","All sectors","geomean_rent",183.664077986299,"Start date, Flow"
1997-06-30,"New Zealand","All sectors","geomean_rent",184.91319446005,"Start date, Flow"
1997-09-30,"New Zealand","All sectors","geomean_rent",185.182857085225,"Start date, Flow"
1997-12-31,"New Zealand","All sectors","geomean_rent",186.819170919183,"Start date, Flow"
1998-03-31,"New Zealand","All sectors","geomean_rent",186.394503157168,"Start date, Flow"
1998-06-30,"New Zealand","All sectors","geomean_rent",186.307331964878,"Start date, Flow"
1998-09-30,"New Zealand","All sectors","geomean_rent",185.477936933091,"Start date, Flow"
1998-12-31,"New Zealand","All sectors","geomean_rent",183.775714142179,"Start date, Flow"
1999-03-31,"New Zealand","All sectors","geomean_rent",184.446576112603,"Start date, Flow"
1999-06-30,"New Zealand","All sectors","geomean_rent",183.462817572961,"Start date, Flow"
1999-09-30,"New Zealand","All sectors","geomean_rent",184.013226309474,"Start date, Flow"
1999-12-31,"New Zealand","All sectors","geomean_rent",184.508072823601,"Start date, Flow"
2000-03-31,"New Zealand","All sectors","geomean_rent",185.4151219411,"Start date, Flow"
2000-06-30,"New Zealand","All sectors","geomean_rent",184.685303025445,"Start date, Flow"
2000-09-30,"New Zealand","All sectors","geomean_rent",185.099844387423,"Start date, Flow"
2000-12-31,"New Zealand","All sectors","geomean_rent",181.582502451227,"Start date, Flow"
2001-03-31,"New Zealand","All sectors","geomean_rent",181.932592893552,"Start date, Flow"
2001-06-30,"New Zealand","All sectors","geomean_rent",180.509964452988,"Start date, Flow"
2001-09-30,"New Zealand","All sectors","geomean_rent",181.913179997188,"Start date, Flow"
2001-12-31,"New Zealand","All sectors","geomean_rent",183.877610315729,"Start date, Flow"
2002-03-31,"New Zealand","All sectors","geomean_rent",189.918115268829,"Start date, Flow"
2002-06-30,"New Zealand","All sectors","geomean_rent",191.891435919907,"Start date, Flow"
2002-09-30,"New Zealand","All sectors","geomean_rent",192.983362488298,"Start date, Flow"
2002-12-31,"New Zealand","All sectors","geomean_rent",198.090030806544,"Start date, Flow"
2003-03-31,"New Zealand","All sectors","geomean_rent",207.247287915814,"Start date, Flow"
2003-06-30,"New Zealand","All sectors","geomean_rent",207.675319390969,"Start date, Flow"
2003-09-30,"New Zealand","All sectors","geomean_rent",208.566738771301,"Start date, Flow"
2003-12-31,"New Zealand","All sectors","geomean_rent",215.01143250431,"Start date, Flow"
2004-03-31,"New Zealand","All sectors","geomean_rent",221.576055502968,"Start date, Flow"
2004-06-30,"New Zealand","All sectors","geomean_rent",222.179696154751,"Start date, Flow"
2004-09-30,"New Zealand","All sectors","geomean_rent",220.952966788208,"Start date, Flow"
2004-12-31,"New Zealand","All sectors","geomean_rent",222.409121808203,"Start date, Flow"
2005-03-31,"New Zealand","All sectors","geomean_rent",231.684757149881,"Start date, Flow"
2005-06-30,"New Zealand","All sectors","geomean_rent",228.006773775118,"Start date, Flow"
2005-09-30,"New Zealand","All sectors","geomean_rent",229.297844065427,"Start date, Flow"
2005-12-31,"New Zealand","All sectors","geomean_rent",233.989737519511,"Start date, Flow"
2006-03-31,"New Zealand","All sectors","geomean_rent",241.071399725586,"Start date, Flow"
2006-06-30,"New Zealand","All sectors","geomean_rent",237.61750071878,"Start date, Flow"
2006-09-30,"New Zealand","All sectors","geomean_rent",239.441795054561,"Start date, Flow"
2006-12-31,"New Zealand","All sectors","geomean_rent",245.949221284817,"Start date, Flow"
2007-03-31,"New Zealand","All sectors","geomean_rent",256.202816167522,"Start date, Flow"
2007-06-30,"New Zealand","All sectors","geomean_rent",256.530383816817,"Start date, Flow"
2007-09-30,"New Zealand","All sectors","geomean_rent",257.128868484356,"Start date, Flow"
2007-12-31,"New Zealand","All sectors","geomean_rent",262.067928637235,"Start date, Flow"
2008-03-31,"New Zealand","All sectors","geomean_rent",271.376362240327,"Start date, Flow"
2008-06-30,"New Zealand","All sectors","geomean_rent",269.133358833158,"Start date, Flow"
2008-09-30,"New Zealand","All sectors","geomean_rent",270.224579903552,"Start date, Flow"
2008-12-31,"New Zealand","All sectors","geomean_rent",270.151020521406,"Start date, Flow"
2009-03-31,"New Zealand","All sectors","geomean_rent",277.170885553886,"Start date, Flow"
2009-06-30,"New Zealand","All sectors","geomean_rent",272.895091935418,"Start date, Flow"
2009-09-30,"New Zealand","All sectors","geomean_rent",267.66480614726,"Start date, Flow"
2009-12-31,"New Zealand","All sectors","geomean_rent",275.544016437937,"Start date, Flow"
2010-03-31,"New Zealand","All sectors","geomean_rent",280.425970181078,"Start date, Flow"
2010-06-30,"New Zealand","All sectors","geomean_rent",276.881986816517,"Start date, Flow"
2010-09-30,"New Zealand","All sectors","geomean_rent",279.115792415029,"Start date, Flow"
2010-12-31,"New Zealand","All sectors","geomean_rent",282.796239646407,"Start date, Flow"
2011-03-31,"New Zealand","All sectors","geomean_rent",296.67788156347,"Start date, Flow"
2011-06-30,"New Zealand","All sectors","geomean_rent",286.018741475885,"Start date, Flow"
2011-09-30,"New Zealand","All sectors","geomean_rent",287.424834980592,"Start date, Flow"
2011-12-31,"New Zealand","All sectors","geomean_rent",291.931857454616,"Start date, Flow"
2012-03-31,"New Zealand","All sectors","geomean_rent",305.09797751389,"Start date, Flow"
2012-06-30,"New Zealand","All sectors","geomean_rent",302.203990107886,"Start date, Flow"
2012-09-30,"New Zealand","All sectors","geomean_rent",306.454902775685,"Start date, Flow"
2012-12-31,"New Zealand","All sectors","geomean_rent",305.179017930984,"Start date, Flow"
2013-03-31,"New Zealand","All sectors","geomean_rent",316.482660050285,"Start date, Flow"
2013-06-30,"New Zealand","All sectors","geomean_rent",306.950112668562,"Start date, Flow"
2013-09-30,"New Zealand","All sectors","geomean_rent",305.306464804911,"Start date, Flow"
2013-12-31,"New Zealand","All sectors","geomean_rent",312.209876979986,"Start date, Flow"
2014-03-31,"New Zealand","All sectors","geomean_rent",325.409484550916,"Start date, Flow"
2014-06-30,"New Zealand","All sectors","geomean_rent",323.034716749542,"Start date, Flow"
2014-09-30,"New Zealand","All sectors","geomean_rent",319.902303659502,"Start date, Flow"
2014-12-31,"New Zealand","All sectors","geomean_rent",325.20149244503,"Start date, Flow"
2015-03-31,"New Zealand","All sectors","geomean_rent",342.208797910358,"Start date, Flow"
2015-06-30,"New Zealand","All sectors","geomean_rent",336.592300016019,"Start date, Flow"
