"","area","date","source","med_inc"
"1","Area Outside Region",1996-03-31,"Census, median household income",27600
"2","Area Outside Region",2001-03-31,"Census, median household income",34850
"3","Area Outside Region",2006-03-31,"Census, median household income",49100
"4","Area Outside Region",2013-03-31,"Census, median household income",67750
"5","Area Outside Region",2018-03-31,"Census, median household income",71600
"6","Ashburton District",1996-03-31,"Census, median household income",29900
"7","Ashburton District",2001-03-31,"Census, median household income",35500
"8","Ashburton District",2006-03-31,"Census, median household income",46066.6666666667
"9","Ashburton District",2013-03-31,"Census, median household income",63100
"10","Ashburton District",2018-03-31,"Census, median household income",72100
"11","Auckland Region",1996-03-31,"Census, median household income",42200
"12","Auckland Region",2001-03-31,"Census, median household income",49000
"13","Auckland Region",2006-03-31,"Census, median household income",63400
"14","Auckland Region",2013-03-31,"Census, median household income",76500
"15","Auckland Region",2018-03-31,"Census, median household income",93900
"16","Bay of Plenty Region",1996-03-31,"Census, median household income",30900
"17","Bay of Plenty Region",2001-03-31,"Census, median household income",34400
"18","Bay of Plenty Region",2006-03-31,"Census, median household income",45400
"19","Bay of Plenty Region",2013-03-31,"Census, median household income",54600
"20","Bay of Plenty Region",2018-03-31,"Census, median household income",66600
"21","Buller District",1996-03-31,"Census, median household income",24700
"22","Buller District",2001-03-31,"Census, median household income",25100
"23","Buller District",2006-03-31,"Census, median household income",31933.3333333333
"24","Buller District",2013-03-31,"Census, median household income",53300
"25","Buller District",2018-03-31,"Census, median household income",40600
"26","Canterbury Region",1996-03-31,"Census, median household income",32200
"27","Canterbury Region",2001-03-31,"Census, median household income",36200
"28","Canterbury Region",2006-03-31,"Census, median household income",47900
"29","Canterbury Region",2013-03-31,"Census, median household income",65000
"30","Canterbury Region",2018-03-31,"Census, median household income",75100
"31","Carterton District",1996-03-31,"Census, median household income",29100
"32","Carterton District",2001-03-31,"Census, median household income",33900
"33","Carterton District",2006-03-31,"Census, median household income",43766.6666666667
"34","Carterton District",2013-03-31,"Census, median household income",54950
"35","Carterton District",2018-03-31,"Census, median household income",63700
"36","Central Hawke's Bay District",1996-03-31,"Census, median household income",29700
"37","Central Hawke's Bay District",2001-03-31,"Census, median household income",36200
"38","Central Hawke's Bay District",2006-03-31,"Census, median household income",44000
"39","Central Hawke's Bay District",2013-03-31,"Census, median household income",52500
"40","Central Hawke's Bay District",2018-03-31,"Census, median household income",59800
"41","Central Otago District",1996-03-31,"Census, median household income",28000
"42","Central Otago District",2001-03-31,"Census, median household income",30000
"43","Central Otago District",2006-03-31,"Census, median household income",43400
"44","Central Otago District",2013-03-31,"Census, median household income",54800
"45","Central Otago District",2018-03-31,"Census, median household income",68300
"46","Chatham Islands Territory",1996-03-31,"Census, median household income",27600
"47","Chatham Islands Territory",2001-03-31,"Census, median household income",35200
"48","Chatham Islands Territory",2006-03-31,"Census, median household income",48833.3333333333
"49","Chatham Islands Territory",2013-03-31,"Census, median household income",65150
"50","Chatham Islands Territory",2018-03-31,"Census, median household income",71600
"51","Christchurch City",1996-03-31,"Census, median household income",32900
"52","Christchurch City",2001-03-31,"Census, median household income",36500
"53","Christchurch City",2006-03-31,"Census, median household income",48200
"54","Christchurch City",2013-03-31,"Census, median household income",65300
"55","Christchurch City",2018-03-31,"Census, median household income",73900
"56","Clutha District",1996-03-31,"Census, median household income",29400
"57","Clutha District",2001-03-31,"Census, median household income",35500
"58","Clutha District",2006-03-31,"Census, median household income",42133.3333333333
"59","Clutha District",2013-03-31,"Census, median household income",55750
"60","Clutha District",2018-03-31,"Census, median household income",61100
"61","Dunedin City",1996-03-31,"Census, median household income",30500
"62","Dunedin City",2001-03-31,"Census, median household income",32500
"63","Dunedin City",2006-03-31,"Census, median household income",43400
"64","Dunedin City",2013-03-31,"Census, median household income",54400
"65","Dunedin City",2018-03-31,"Census, median household income",62000
"66","Far North District",1996-03-31,"Census, median household income",26000
"67","Far North District",2001-03-31,"Census, median household income",28300
"68","Far North District",2006-03-31,"Census, median household income",37000
"69","Far North District",2013-03-31,"Census, median household income",42150
"70","Far North District",2018-03-31,"Census, median household income",51400
"71","Gisborne District",1996-03-31,"Census, median household income",29100
"72","Gisborne District",2001-03-31,"Census, median household income",30900
"73","Gisborne District",2006-03-31,"Census, median household income",41000
"74","Gisborne District",2013-03-31,"Census, median household income",50500
"75","Gisborne District",2018-03-31,"Census, median household income",57900
"76","Gisborne Region",1996-03-31,"Census, median household income",29100
"77","Gisborne Region",2001-03-31,"Census, median household income",30900
"78","Gisborne Region",2006-03-31,"Census, median household income",41000
"79","Gisborne Region",2013-03-31,"Census, median household income",50500
"80","Gisborne Region",2018-03-31,"Census, median household income",57900
"81","Gore District",1996-03-31,"Census, median household income",30200
"82","Gore District",2001-03-31,"Census, median household income",34200
"83","Gore District",2006-03-31,"Census, median household income",41066.6666666667
"84","Gore District",2013-03-31,"Census, median household income",54500
"85","Gore District",2018-03-31,"Census, median household income",60100
"86","Grey District",1996-03-31,"Census, median household income",28200
"87","Grey District",2001-03-31,"Census, median household income",29650
"88","Grey District",2006-03-31,"Census, median household income",40333.3333333333
"89","Grey District",2013-03-31,"Census, median household income",56000
"90","Grey District",2018-03-31,"Census, median household income",56400
"91","Hamilton City",1996-03-31,"Census, median household income",36300
"92","Hamilton City",2001-03-31,"Census, median household income",40300
"93","Hamilton City",2006-03-31,"Census, median household income",52800
"94","Hamilton City",2013-03-31,"Census, median household income",64050
"95","Hamilton City",2018-03-31,"Census, median household income",73000
"96","Hastings District",1996-03-31,"Census, median household income",29700
"97","Hastings District",2001-03-31,"Census, median household income",34100
"98","Hastings District",2006-03-31,"Census, median household income",45800
"99","Hastings District",2013-03-31,"Census, median household income",55900
"100","Hastings District",2018-03-31,"Census, median household income",66600
"101","Hauraki District",1996-03-31,"Census, median household income",28500
"102","Hauraki District",2001-03-31,"Census, median household income",29600
"103","Hauraki District",2006-03-31,"Census, median household income",36866.6666666667
"104","Hauraki District",2013-03-31,"Census, median household income",43100
"105","Hauraki District",2018-03-31,"Census, median household income",52500
"106","Hawke's Bay Region",1996-03-31,"Census, median household income",29700
"107","Hawke's Bay Region",2001-03-31,"Census, median household income",33450
"108","Hawke's Bay Region",2006-03-31,"Census, median household income",44200
"109","Hawke's Bay Region",2013-03-31,"Census, median household income",53200
"110","Hawke's Bay Region",2018-03-31,"Census, median household income",62800
"111","Horowhenua District",1996-03-31,"Census, median household income",26300
"112","Horowhenua District",2001-03-31,"Census, median household income",27700
"113","Horowhenua District",2006-03-31,"Census, median household income",33100
"114","Horowhenua District",2013-03-31,"Census, median household income",39150
"115","Horowhenua District",2018-03-31,"Census, median household income",47800
"116","Hurunui District",1996-03-31,"Census, median household income",27800
"117","Hurunui District",2001-03-31,"Census, median household income",31800
"118","Hurunui District",2006-03-31,"Census, median household income",43333.3333333333
"119","Hurunui District",2013-03-31,"Census, median household income",56350
"120","Hurunui District",2018-03-31,"Census, median household income",65900
"121","Invercargill City",1996-03-31,"Census, median household income",31800
"122","Invercargill City",2001-03-31,"Census, median household income",31900
"123","Invercargill City",2006-03-31,"Census, median household income",42300
"124","Invercargill City",2013-03-31,"Census, median household income",54300
"125","Invercargill City",2018-03-31,"Census, median household income",60500
"126","Kaikoura District",1996-03-31,"Census, median household income",27600
