"area","date","source","med_rent"
"Area Outside Region",1996-03-31,"Census, median rent",78
"Area Outside Region",2001-03-31,"Census, median rent",80
"Area Outside Region",2006-03-31,"Census, median rent",96.6666666666667
"Area Outside Region",2013-03-31,"Census, median rent",125
"Area Outside Region",2018-03-31,"Census, median rent",150
"Ashburton District",1996-03-31,"Census, median rent",100
"Ashburton District",2001-03-31,"Census, median rent",110
"Ashburton District",2006-03-31,"Census, median rent",145
"Ashburton District",2013-03-31,"Census, median rent",220
"Ashburton District",2018-03-31,"Census, median rent",250
"Auckland Region",1996-03-31,"Census, median rent",190
"Auckland Region",2001-03-31,"Census, median rent",220
"Auckland Region",2006-03-31,"Census, median rent",278.333333333333
"Auckland Region",2013-03-31,"Census, median rent",350
"Auckland Region",2018-03-31,"Census, median rent",450
"Bay of Plenty Region",1996-03-31,"Census, median rent",140
"Bay of Plenty Region",2001-03-31,"Census, median rent",160
"Bay of Plenty Region",2006-03-31,"Census, median rent",198.666666666667
"Bay of Plenty Region",2013-03-31,"Census, median rent",260
"Bay of Plenty Region",2018-03-31,"Census, median rent",320
"Buller District",1996-03-31,"Census, median rent",100
"Buller District",2001-03-31,"Census, median rent",90
"Buller District",2006-03-31,"Census, median rent",120.333333333333
"Buller District",2013-03-31,"Census, median rent",195
"Buller District",2018-03-31,"Census, median rent",180
"Canterbury Region",1996-03-31,"Census, median rent",135
"Canterbury Region",2001-03-31,"Census, median rent",150
"Canterbury Region",2006-03-31,"Census, median rent",200
"Canterbury Region",2013-03-31,"Census, median rent",280
"Canterbury Region",2018-03-31,"Census, median rent",330
"Carterton District",1996-03-31,"Census, median rent",100
"Carterton District",2001-03-31,"Census, median rent",120
"Carterton District",2006-03-31,"Census, median rent",150
"Carterton District",2013-03-31,"Census, median rent",200
"Carterton District",2018-03-31,"Census, median rent",250
"Central Hawke's Bay District",1996-03-31,"Census, median rent",100
"Central Hawke's Bay District",2001-03-31,"Census, median rent",116.5
"Central Hawke's Bay District",2006-03-31,"Census, median rent",140
"Central Hawke's Bay District",2013-03-31,"Census, median rent",170
"Central Hawke's Bay District",2018-03-31,"Census, median rent",190
"Central Otago District",1996-03-31,"Census, median rent",100
"Central Otago District",2001-03-31,"Census, median rent",105
"Central Otago District",2006-03-31,"Census, median rent",178.666666666667
"Central Otago District",2013-03-31,"Census, median rent",225
"Central Otago District",2018-03-31,"Census, median rent",290
"Chatham Islands Territory",1996-03-31,"Census, median rent",78
"Chatham Islands Territory",2001-03-31,"Census, median rent",85
"Chatham Islands Territory",2006-03-31,"Census, median rent",93.3333333333333
"Chatham Islands Territory",2013-03-31,"Census, median rent",120
"Chatham Islands Territory",2018-03-31,"Census, median rent",150
"Christchurch City",1996-03-31,"Census, median rent",150
"Christchurch City",2001-03-31,"Census, median rent",160
"Christchurch City",2006-03-31,"Census, median rent",215.333333333333
"Christchurch City",2013-03-31,"Census, median rent",300
"Christchurch City",2018-03-31,"Census, median rent",350
"Clutha District",1996-03-31,"Census, median rent",75
"Clutha District",2001-03-31,"Census, median rent",80
"Clutha District",2006-03-31,"Census, median rent",100.333333333333
"Clutha District",2013-03-31,"Census, median rent",150
"Clutha District",2018-03-31,"Census, median rent",170
"Dunedin City",1996-03-31,"Census, median rent",135
"Dunedin City",2001-03-31,"Census, median rent",140
"Dunedin City",2006-03-31,"Census, median rent",190
"Dunedin City",2013-03-31,"Census, median rent",250
"Dunedin City",2018-03-31,"Census, median rent",280
"Far North District",1996-03-31,"Census, median rent",120
"Far North District",2001-03-31,"Census, median rent",130
"Far North District",2006-03-31,"Census, median rent",150.333333333333
"Far North District",2013-03-31,"Census, median rent",200
"Far North District",2018-03-31,"Census, median rent",240
"Gisborne District",1996-03-31,"Census, median rent",130
"Gisborne District",2001-03-31,"Census, median rent",120
"Gisborne District",2006-03-31,"Census, median rent",145.333333333333
"Gisborne District",2013-03-31,"Census, median rent",200
"Gisborne District",2018-03-31,"Census, median rent",220
"Gisborne Region",1996-03-31,"Census, median rent",130
"Gisborne Region",2001-03-31,"Census, median rent",120
"Gisborne Region",2006-03-31,"Census, median rent",145.333333333333
"Gisborne Region",2013-03-31,"Census, median rent",200
"Gisborne Region",2018-03-31,"Census, median rent",220
"Gore District",1996-03-31,"Census, median rent",90
"Gore District",2001-03-31,"Census, median rent",90
"Gore District",2006-03-31,"Census, median rent",113.666666666667
"Gore District",2013-03-31,"Census, median rent",160
"Gore District",2018-03-31,"Census, median rent",200
"Grey District",1996-03-31,"Census, median rent",115
"Grey District",2001-03-31,"Census, median rent",108
"Grey District",2006-03-31,"Census, median rent",130.333333333333
"Grey District",2013-03-31,"Census, median rent",200
"Grey District",2018-03-31,"Census, median rent",220
"Hamilton City",1996-03-31,"Census, median rent",155
"Hamilton City",2001-03-31,"Census, median rent",180
"Hamilton City",2006-03-31,"Census, median rent",220.333333333333
"Hamilton City",2013-03-31,"Census, median rent",290
"Hamilton City",2018-03-31,"Census, median rent",350
"Hastings District",1996-03-31,"Census, median rent",135
"Hastings District",2001-03-31,"Census, median rent",140
"Hastings District",2006-03-31,"Census, median rent",180
"Hastings District",2013-03-31,"Census, median rent",250
"Hastings District",2018-03-31,"Census, median rent",280
"Hauraki District",1996-03-31,"Census, median rent",110
"Hauraki District",2001-03-31,"Census, median rent",130
"Hauraki District",2006-03-31,"Census, median rent",150.333333333333
"Hauraki District",2013-03-31,"Census, median rent",210
"Hauraki District",2018-03-31,"Census, median rent",250
"Hawke's Bay Region",1996-03-31,"Census, median rent",130
"Hawke's Bay Region",2001-03-31,"Census, median rent",138
"Hawke's Bay Region",2006-03-31,"Census, median rent",170.333333333333
"Hawke's Bay Region",2013-03-31,"Census, median rent",240
"Hawke's Bay Region",2018-03-31,"Census, median rent",260
"Horowhenua District",1996-03-31,"Census, median rent",120
"Horowhenua District",2001-03-31,"Census, median rent",120
"Horowhenua District",2006-03-31,"Census, median rent",145.333333333333
"Horowhenua District",2013-03-31,"Census, median rent",190
"Horowhenua District",2018-03-31,"Census, median rent",220
"Hurunui District",1996-03-31,"Census, median rent",80
"Hurunui District",2001-03-31,"Census, median rent",100
"Hurunui District",2006-03-31,"Census, median rent",130
"Hurunui District",2013-03-31,"Census, median rent",180
"Hurunui District",2018-03-31,"Census, median rent",220
"Invercargill City",1996-03-31,"Census, median rent",110
"Invercargill City",2001-03-31,"Census, median rent",100
"Invercargill City",2006-03-31,"Census, median rent",150
"Invercargill City",2013-03-31,"Census, median rent",200
"Invercargill City",2018-03-31,"Census, median rent",230
"Kaikoura District",1996-03-31,"Census, median rent",100
"Kaikoura District",2001-03-31,"Census, median rent",120
"Kaikoura District",2006-03-31,"Census, median rent",170.333333333333
"Kaikoura District",2013-03-31,"Census, median rent",225
"Kaikoura District",2018-03-31,"Census, median rent",250
"Kaipara District",1996-03-31,"Census, median rent",100
"Kaipara District",2001-03-31,"Census, median rent",110
"Kaipara District",2006-03-31,"Census, median rent",140.333333333333
"Kaipara District",2013-03-31,"Census, median rent",200
"Kaipara District",2018-03-31,"Census, median rent",250
"Kapiti Coast District",1996-03-31,"Census, median rent",150
"Kapiti Coast District",2001-03-31,"Census, median rent",177.5
"Kapiti Coast District",2006-03-31,"Census, median rent",200.333333333333
"Kapiti Coast District",2013-03-31,"Census, median rent",280
"Kapiti Coast District",2018-03-31,"Census, median rent",340
"Kawerau District",1996-03-31,"Census, median rent",125
"Kawerau District",2001-03-31,"Census, median rent",120
"Kawerau District",2006-03-31,"Census, median rent",140
"Kawerau District",2013-03-31,"Census, median rent",180
"Kawerau District",2018-03-31,"Census, median rent",200
"Lower Hutt City",1996-03-31,"Census, median rent",155
"Lower Hutt City",2001-03-31,"Census, median rent",160
"Lower Hutt City",2006-03-31,"Census, median rent",190
"Lower Hutt City",2013-03-31,"Census, median rent",270
"Lower Hutt City",2018-03-31,"Census, median rent",300
"Mackenzie District",1996-03-31,"Census, median rent",70
"Mackenzie District",2001-03-31,"Census, median rent",80
"Mackenzie District",2006-03-31,"Census, median rent",105
"Mackenzie District",2013-03-31,"Census, median rent",160
"Mackenzie District",2018-03-31,"Census, median rent",200
"Manawatu-Wanganui Region",1996-03-31,"Census, median rent",120
"Manawatu-Wanganui Region",2001-03-31,"Census, median rent",120
"Manawatu-Wanganui Region",2006-03-31,"Census, median rent",145.333333333333
"Manawatu-Wanganui Region",2013-03-31,"Census, median rent",200
"Manawatu-Wanganui Region",2018-03-31,"Census, median rent",220
"Manawatu District",1996-03-31,"Census, median rent",120
"Manawatu District",2001-03-31,"Census, median rent",122.5
"Manawatu District",2006-03-31,"Census, median rent",150.333333333333
"Manawatu District",2013-03-31,"Census, median rent",200
"Manawatu District",2018-03-31,"Census, median rent",240
"Marlborough District",1996-03-31,"Census, median rent",130
"Marlborough District",2001-03-31,"Census, median rent",137.5
"Marlborough District",2006-03-31,"Census, median rent",185
"Marlborough District",2013-03-31,"Census, median rent",250
"Marlborough District",2018-03-31,"Census, median rent",280
"Marlborough Region",1996-03-31,"Census, median rent",130
"Marlborough Region",2001-03-31,"Census, median rent",137.5
"Marlborough Region",2006-03-31,"Census, median rent",181.666666666667
"Marlborough Region",2013-03-31,"Census, median rent",250
"Marlborough Region",2018-03-31,"Census, median rent",280
"Masterton District",1996-03-31,"Census, median rent",110
"Masterton District",2001-03-31,"Census, median rent",120
"Masterton District",2006-03-31,"Census, median rent",150
"Masterton District",2013-03-31,"Census, median rent",220
"Masterton District",2018-03-31,"Census, median rent",250
"Matamata-Piako District",1996-03-31,"Census, median rent",110
"Matamata-Piako District",2001-03-31,"Census, median rent",120
"Matamata-Piako District",2006-03-31,"Census, median rent",150
"Matamata-Piako District",2013-03-31,"Census, median rent",220
"Matamata-Piako District",2018-03-31,"Census, median rent",260
"Napier City",1996-03-31,"Census, median rent",140
"Napier City",2001-03-31,"Census, median rent",150
"Napier City",2006-03-31,"Census, median rent",190.333333333333
"Napier City",2013-03-31,"Census, median rent",260
"Napier City",2018-03-31,"Census, median rent",280
"Nelson City",1996-03-31,"Census, median rent",150
"Nelson City",2001-03-31,"Census, median rent",167.5
"Nelson City",2006-03-31,"Census, median rent",213.666666666667
"Nelson City",2013-03-31,"Census, median rent",290
"Nelson City",2018-03-31,"Census, median rent",340
"Nelson Region",1996-03-31,"Census, median rent",150
"Nelson Region",2001-03-31,"Census, median rent",167.5
"Nelson Region",2006-03-31,"Census, median rent",210.333333333333
"Nelson Region",2013-03-31,"Census, median rent",295
"Nelson Region",2018-03-31,"Census, median rent",340
"New Plymouth District",1996-03-31,"Census, median rent",130
"New Plymouth District",2001-03-31,"Census, median rent",130
"New Plymouth District",2006-03-31,"Census, median rent",170.333333333333
"New Plymouth District",2013-03-31,"Census, median rent",250
"New Plymouth District",2018-03-31,"Census, median rent",300
"New Zealand",1996-03-31,"Census, median rent",150
"New Zealand",2001-03-31,"Census, median rent",160
"New Zealand",2006-03-31,"Census, median rent",200
"New Zealand",2013-03-31,"Census, median rent",280
"New Zealand",2018-03-31,"Census, median rent",340
"Northland Region",1996-03-31,"Census, median rent",120
"Northland Region",2001-03-31,"Census, median rent",137.5
"Northland Region",2006-03-31,"Census, median rent",160.333333333333
"Northland Region",2013-03-31,"Census, median rent",230
"Northland Region",2018-03-31,"Census, median rent",270
"Opotiki District",1996-03-31,"Census, median rent",100
"Opotiki District",2001-03-31,"Census, median rent",120
"Opotiki District",2006-03-31,"Census, median rent",130.333333333333
"Opotiki District",2013-03-31,"Census, median rent",170
"Opotiki District",2018-03-31,"Census, median rent",200
"Otago Region",1996-03-31,"Census, median rent",125
"Otago Region",2001-03-31,"Census, median rent",130
"Otago Region",2006-03-31,"Census, median rent",183.666666666667
"Otago Region",2013-03-31,"Census, median rent",250
"Otago Region",2018-03-31,"Census, median rent",290
"Otorohanga District",1996-03-31,"Census, median rent",80
"Otorohanga District",2001-03-31,"Census, median rent",100
"Otorohanga District",2006-03-31,"Census, median rent",120
"Otorohanga District",2013-03-31,"Census, median rent",175
"Otorohanga District",2018-03-31,"Census, median rent",200
"Palmerston North City",1996-03-31,"Census, median rent",150
"Palmerston North City",2001-03-31,"Census, median rent",150
"Palmerston North City",2006-03-31,"Census, median rent",180.333333333333
"Palmerston North City",2013-03-31,"Census, median rent",250
"Palmerston North City",2018-03-31,"Census, median rent",270
"Porirua City",1996-03-31,"Census, median rent",155
"Porirua City",2001-03-31,"Census, median rent",140
"Porirua City",2006-03-31,"Census, median rent",170.333333333333
"Porirua City",2013-03-31,"Census, median rent",250
"Porirua City",2018-03-31,"Census, median rent",260
"Queenstown-Lakes District",1996-03-31,"Census, median rent",170
"Queenstown-Lakes District",2001-03-31,"Census, median rent",180
"Queenstown-Lakes District",2006-03-31,"Census, median rent",300
"Queenstown-Lakes District",2013-03-31,"Census, median rent",350
"Queenstown-Lakes District",2018-03-31,"Census, median rent",530
"Rangitikei District",1996-03-31,"Census, median rent",85
"Rangitikei District",2001-03-31,"Census, median rent",96.6666666666667
"Rangitikei District",2006-03-31,"Census, median rent",110
"Rangitikei District",2013-03-31,"Census, median rent",155
"Rangitikei District",2018-03-31,"Census, median rent",180
"Rotorua District",1996-03-31,"Census, median rent",135
"Rotorua District",2001-03-31,"Census, median rent",150
"Rotorua District",2006-03-31,"Census, median rent",178
"Rotorua District",2013-03-31,"Census, median rent",230
"Rotorua District",2018-03-31,"Census, median rent",270
"Ruapehu District",1996-03-31,"Census, median rent",60
"Ruapehu District",2001-03-31,"Census, median rent",87.5
"Ruapehu District",2006-03-31,"Census, median rent",100.333333333333
"Ruapehu District",2013-03-31,"Census, median rent",140
"Ruapehu District",2018-03-31,"Census, median rent",160
"Selwyn District",1996-03-31,"Census, median rent",90
"Selwyn District",2001-03-31,"Census, median rent",120
"Selwyn District",2006-03-31,"Census, median rent",156.666666666667
"Selwyn District",2013-03-31,"Census, median rent",275
"Selwyn District",2018-03-31,"Census, median rent",370
"South Taranaki District",1996-03-31,"Census, median rent",95
"South Taranaki District",2001-03-31,"Census, median rent",100
"South Taranaki District",2006-03-31,"Census, median rent",120.333333333333
"South Taranaki District",2013-03-31,"Census, median rent",180
"South Taranaki District",2018-03-31,"Census, median rent",200
"South Waikato District",1996-03-31,"Census, median rent",110
"South Waikato District",2001-03-31,"Census, median rent",120
"South Waikato District",2006-03-31,"Census, median rent",130
"South Waikato District",2013-03-31,"Census, median rent",160
"South Waikato District",2018-03-31,"Census, median rent",200
"South Wairarapa District",1996-03-31,"Census, median rent",100
"South Wairarapa District",2001-03-31,"Census, median rent",120
"South Wairarapa District",2006-03-31,"Census, median rent",145
"South Wairarapa District",2013-03-31,"Census, median rent",200
"South Wairarapa District",2018-03-31,"Census, median rent",250
"Southland District",1996-03-31,"Census, median rent",60
"Southland District",2001-03-31,"Census, median rent",80
"Southland District",2006-03-31,"Census, median rent",100
"Southland District",2013-03-31,"Census, median rent",130
"Southland District",2018-03-31,"Census, median rent",150
"Southland Region",1996-03-31,"Census, median rent",100
"Southland Region",2001-03-31,"Census, median rent",99.5
"Southland Region",2006-03-31,"Census, median rent",130.333333333333
"Southland Region",2013-03-31,"Census, median rent",180
"Southland Region",2018-03-31,"Census, median rent",200
"Stratford District",1996-03-31,"Census, median rent",95
"Stratford District",2001-03-31,"Census, median rent",100
"Stratford District",2006-03-31,"Census, median rent",120.5
"Stratford District",2013-03-31,"Census, median rent",195
"Stratford District",2018-03-31,"Census, median rent",210
"Taranaki Region",1996-03-31,"Census, median rent",120
"Taranaki Region",2001-03-31,"Census, median rent",120
"Taranaki Region",2006-03-31,"Census, median rent",150.333333333333
"Taranaki Region",2013-03-31,"Census, median rent",225
"Taranaki Region",2018-03-31,"Census, median rent",250
"Tararua District",1996-03-31,"Census, median rent",100
"Tararua District",2001-03-31,"Census, median rent",100
"Tararua District",2006-03-31,"Census, median rent",120
"Tararua District",2013-03-31,"Census, median rent",155
"Tararua District",2018-03-31,"Census, median rent",180
"Tasman District",1996-03-31,"Census, median rent",120
"Tasman District",2001-03-31,"Census, median rent",140
"Tasman District",2006-03-31,"Census, median rent",188.666666666667
"Tasman District",2013-03-31,"Census, median rent",260
"Tasman District",2018-03-31,"Census, median rent",300
"Tasman Region",1996-03-31,"Census, median rent",120
"Tasman Region",2001-03-31,"Census, median rent",140
"Tasman Region",2006-03-31,"Census, median rent",188.666666666667
"Tasman Region",2013-03-31,"Census, median rent",260
"Tasman Region",2018-03-31,"Census, median rent",300
"Taupo District",1996-03-31,"Census, median rent",130
"Taupo District",2001-03-31,"Census, median rent",150
"Taupo District",2006-03-31,"Census, median rent",190
"Taupo District",2013-03-31,"Census, median rent",250
"Taupo District",2018-03-31,"Census, median rent",280
"Tauranga City",1996-03-31,"Census, median rent",160
"Tauranga City",2001-03-31,"Census, median rent",180
"Tauranga City",2006-03-31,"Census, median rent",230.333333333333
"Tauranga City",2013-03-31,"Census, median rent",300
"Tauranga City",2018-03-31,"Census, median rent",400
"Thames-Coromandel District",1996-03-31,"Census, median rent",120
"Thames-Coromandel District",2001-03-31,"Census, median rent",140
"Thames-Coromandel District",2006-03-31,"Census, median rent",175
"Thames-Coromandel District",2013-03-31,"Census, median rent",230
"Thames-Coromandel District",2018-03-31,"Census, median rent",280
"Timaru District",1996-03-31,"Census, median rent",100
"Timaru District",2001-03-31,"Census, median rent",110
"Timaru District",2006-03-31,"Census, median rent",140
"Timaru District",2013-03-31,"Census, median rent",200
"Timaru District",2018-03-31,"Census, median rent",250
"Upper Hutt City",1996-03-31,"Census, median rent",140
"Upper Hutt City",2001-03-31,"Census, median rent",150
"Upper Hutt City",2006-03-31,"Census, median rent",178.333333333333
"Upper Hutt City",2013-03-31,"Census, median rent",255
"Upper Hutt City",2018-03-31,"Census, median rent",300
"Waikato District",1996-03-31,"Census, median rent",105
"Waikato District",2001-03-31,"Census, median rent",127.5
"Waikato District",2006-03-31,"Census, median rent",163.333333333333
"Waikato District",2013-03-31,"Census, median rent",240
"Waikato District",2018-03-31,"Census, median rent",300
"Waikato Region",1996-03-31,"Census, median rent",125
"Waikato Region",2001-03-31,"Census, median rent",147.5
"Waikato Region",2006-03-31,"Census, median rent",180
"Waikato Region",2013-03-31,"Census, median rent",250
"Waikato Region",2018-03-31,"Census, median rent",300
"Waimakariri District",1996-03-31,"Census, median rent",130
"Waimakariri District",2001-03-31,"Census, median rent",150
"Waimakariri District",2006-03-31,"Census, median rent",200
"Waimakariri District",2013-03-31,"Census, median rent",290
"Waimakariri District",2018-03-31,"Census, median rent",360
"Waimate District",1996-03-31,"Census, median rent",66
"Waimate District",2001-03-31,"Census, median rent",80
"Waimate District",2006-03-31,"Census, median rent",100.333333333333
"Waimate District",2013-03-31,"Census, median rent",150
"Waimate District",2018-03-31,"Census, median rent",190
"Waipa District",1996-03-31,"Census, median rent",130
"Waipa District",2001-03-31,"Census, median rent",150
"Waipa District",2006-03-31,"Census, median rent",180
"Waipa District",2013-03-31,"Census, median rent",260
"Waipa District",2018-03-31,"Census, median rent",310
