landlord,count,year
Total,290124,1996
Private Person,183153,1996
Private Trust,0,1996
Local Authority or City Council,14781,1996
Housing New Zealand,52668,1996
Other State-Owned Corporation or State-Owned Enterprise or Government Department or Ministry,8373,1996
Business or Other Organisation,13038,1996
Not Elsewhere Included,18114,1996
Total,358890,2001
Private Person,231408,2001
Private Trust,19512,2001
Local Authority or City Council,14118,2001
Housing New Zealand,52500,2001
Other State-Owned Corporation or State-Owned Enterprise or Government Department or Ministry,6432,2001
Business or Other Organisation,13578,2001
Not Elsewhere Included,21339,2001
