"period","region","tenure","percent_25ormore","percent_30ormore","percent_40ormore","region_desc"
"1988","01","Owned","21.1","14.5","6.1","Auckland"
"1988","01","Rent","38.7","27.2","16","Auckland"
"1988","02","Owned","15.4","10","4","Wellington"
"1988","02","Rent","27.3","19.5","8.2","Wellington"
"1988","03","Owned","12.5","8.3","4.2","Rest of North Island"
"1988","03","Rent","21.8","16.2","9.2","Rest of North Island"
"1988","04","Owned","13.9","8.8","3.8","Canterbury"
"1988","04","Rent","18.7","11.3","5","Canterbury"
"1988","05","Owned","11.5","8.4","4.1","Rest of the South Island"
"1988","05","Rent","20.5","16.1","6.8","Rest of the South Island"
"1988","ZZZZ","Owned","15.2","10.3","4.6","Total New Zealand"
"1988","ZZZZ","Rent","26","18.6","9.9","Total New Zealand"
"1989","01","Owned","18.9","14.6","7.4","Auckland"
"1989","01","Rent","45.9","35.4","22.2","Auckland"
"1989","02","Owned","17.6","12","6.8","Wellington"
"1989","02","Rent","38.1","24.9","9.5","Wellington"
"1989","03","Owned","15.9","11","5.8","Rest of North Island"
"1989","03","Rent","26.2","16.7","6.8","Rest of North Island"
"1989","04","Owned","14.8","10.5","4.7","Canterbury"
"1989","04","Rent","29.7","22.3","14.2","Canterbury"
"1989","05","Owned","14.6","10","3.7","Rest of the South Island"
"1989","05","Rent","22.7","13.5","9.9","Rest of the South Island"
"1989","ZZZZ","Owned","16.6","11.9","5.9","Total New Zealand"
"1989","ZZZZ","Rent","32.7","22.8","12.2","Total New Zealand"
"1990","01","Owned","24","18.5","8.4","Auckland"
"1990","01","Rent","43.5","29.6","16.6","Auckland"
"1990","02","Owned","19.8","10.6","5.1","Wellington"
"1990","02","Rent","41.2","22","9.5","Wellington"
"1990","03","Owned","17.7","10.1","4.3","Rest of North Island"
"1990","03","Rent","26","20.7","10.6","Rest of North Island"
"1990","04","Owned","18.3","13.5","7.5","Canterbury"
"1990","04","Rent","43.1","29.1","13.5","Canterbury"
"1990","05","Owned","13.3","10.3","5.2","Rest of the South Island"
"1990","05","Rent","29.6","16.1","7.2","Rest of the South Island"
"1990","ZZZZ","Owned","19.1","12.8","6.1","Total New Zealand"
"1990","ZZZZ","Rent","36","24.1","12.3","Total New Zealand"
"1991","01","Owned","27.9","21.3","12.7","Auckland"
"1991","01","Rent","51.5","35.6","18.9","Auckland"
